price_level_bucket,cafe_count,avg_rating,avg_log_reviews,price_weight,price_value_score
Cheap,233,4.329184549356222,2.116798031869091,1,9.177219321251954
Expensive,149,3.793288590604029,2.89481540697355,1.5,7.378360152844779
Mid,1943,4.036284096757588,2.5679230604249357,1.2,8.659412250965206
