grid_id,lat,lon,heat_weight
1,40.83968966685478,29.500359959265385,0
2,40.836291512470616,29.500359959265385,0
3,40.82949468111307,29.500359959265385,0
4,40.83289318388904,29.500359959265385,0
5,40.83289318388904,29.495868382844794,0
6,40.82949468111307,29.495868382844794,0
7,40.82949468111307,29.491376806424196,0
8,40.83289318388904,29.491376806424196,0
9,40.836291512470616,29.491376806424196,0
10,40.836291512470616,29.495868382844794,0
11,40.83968966685478,29.495868382844794,0
12,40.83968966685478,29.491376806424196,0
13,40.83968966685478,29.486885230003594,0
14,40.836291512470616,29.486885230003594,0
15,40.836291512470616,29.482393653582996,0
16,40.83968966685478,29.482393653582996,0
17,40.83968966685478,29.477902077162398,0
18,40.83968966685478,29.4734105007418,0
19,40.836291512470616,29.4734105007418,0
20,40.836291512470616,29.477902077162398,0
21,40.83289318388904,29.477902077162398,0
22,40.83289318388904,29.4734105007418,0
23,40.82949468111307,29.4734105007418,0
24,40.82949468111307,29.477902077162398,0
25,40.82949468111307,29.482393653582996,0
26,40.83289318388904,29.482393653582996,0
27,40.83289318388904,29.486885230003594,0
28,40.82949468111307,29.486885230003594,0
29,40.82609600414575,29.486885230003594,0
30,40.82269715299009,29.486885230003594,0
31,40.82269715299009,29.482393653582996,0
32,40.82609600414575,29.482393653582996,0
33,40.82609600414575,29.477902077162398,10.5
34,40.82609600414575,29.4734105007418,0
35,40.82269715299009,29.4734105007418,0
36,40.82269715299009,29.477902077162398,0
37,40.819298127649134,29.477902077162398,0
38,40.819298127649134,29.4734105007418,0
39,40.81589892812592,29.4734105007418,0
40,40.81589892812592,29.477902077162398,0
41,40.81589892812592,29.482393653582996,0
42,40.819298127649134,29.482393653582996,0
43,40.819298127649134,29.486885230003594,0
44,40.81589892812592,29.486885230003594,0
45,40.81589892812592,29.491376806424196,0
46,40.81589892812592,29.495868382844794,0
47,40.819298127649134,29.495868382844794,0
48,40.819298127649134,29.491376806424196,0
49,40.82269715299009,29.491376806424196,0
50,40.82609600414575,29.491376806424196,0
51,40.82609600414575,29.495868382844794,0
52,40.82269715299009,29.495868382844794,0
53,40.82269715299009,29.500359959265385,0
54,40.82609600414575,29.500359959265385,0
55,40.819298127649134,29.500359959265385,0
56,40.81589892812592,29.500359959265385,0
57,40.809100006544874,29.500359959265385,0
58,40.81249955442349,29.500359959265385,0
59,40.81249955442349,29.495868382844794,0
60,40.81249955442349,29.491376806424196,0
61,40.809100006544874,29.491376806424196,0
62,40.809100006544874,29.495868382844794,0
63,40.80570028449312,29.495868382844794,0
64,40.80570028449312,29.491376806424196,0
65,40.80230038827128,29.491376806424196,0
66,40.80230038827128,29.495868382844794,0
67,40.80230038827128,29.500359959265385,0
68,40.80570028449312,29.500359959265385,0
69,40.798900317882406,29.500359959265385,0
70,40.795500073329535,29.500359959265385,0
71,40.78869906174407,29.500359959265385,0
